Filename,l_start_index,shift_scale,shift_direction
midas_id_10373_M6_5717L_total_vol,1479,0.7751521847992457,1
midas_id_13_M62_2328B_speed_avg_mph,3711,-0.7340279606636548,-1
midas_id_13_M62_2328B_total_vol,1857,0.5871254182522991,1
midas_id_14749_M5_7300A_total_vol,3538,1.5621088666940683,1
midas_id_19_M1_4890A_total_vol,1388,1.582998158400237,1
midas_id_20_M3_2039B_total_vol,3472,0.5011681487615215,1
midas_id_21_M1_4846A_speed_avg_mph,2943,1.4262222644415747,1
midas_id_21_M1_4846A_total_vol,640,-0.510599457829576,-1
midas_id_2606_M25_5110A_total_vol,1093,1.4177793420835691,1
midas_id_2960_M25_5054A_total_vol,2666,0.9382169728028272,1
midas_id_2_A1M_2259B_total_vol,2425,-1.1841049763255538,-1
midas_id_3_M5_7482B_total_vol,3624,-0.7995106732375397,-1
midas_id_4_M3_2173A_total_vol,1886,-1.3886218532930636,-1
midas_id_5_M25_5764B_total_vol,1265,-0.7557861855309373,-1
midas_id_7_A1M_9869K_total_vol,1916,1.92332830588,1
midas_id_827_M6_6933B_total_vol,2680,-1.7125960221746916,-1
midas_id_8_M25_4876A_total_vol,3231,0.8463407384332235,1
midas_id_9960_A27_9481J_total_vol,2009,1.5248952782381873,1
tame_id_6310_30360229_total_vol,3175,-1.7497923676042464,-1
tame_id_6312_30360231_total_vol,2872,1.086590911359861,1
tame_id_6316_30360235_total_vol,3692,1.137733811736867,1
tame_id_6328_30360258_total_vol,1748,-1.3515504917299872,-1
tame_id_6329_30360259_total_vol,1321,1.7634271618924977,1
tame_id_6597_30360761_total_vol,780,1.0927253540027215,1
tame_id_6737_30360469_total_vol,2936,-1.5909079937846313,-1
tame_id_6851_30361303_total_vol,1074,1.355665961608099,1
tame_id_7032_30361448_total_vol,1635,-1.9417580365240237,-1
tame_id_7078_30361518_total_vol,3386,-1.6209801652060714,-1
tame_id_7084_30361526_total_vol,1695,-1.3801267484957722,-1
tmu_id_7236_5607_1_total_vol,1382,-1.410551371530027,-1
tmu_id_7237_5606_2_total_vol,1799,-1.7032954711310595,-1
tmu_id_7238_5606_1_total_vol,3187,1.6583671539449862,1
tmu_id_7239_5601_2_total_vol,3314,-0.5082831756854036,-1
tmu_id_7240_5601_1_total_vol,2141,-1.5602860157714256,-1
tmu_id_7335_5016_1_total_vol,1037,-1.6569055200289187,-1
tmu_id_7494_5290_1_total_vol,2897,1.4766155382529167,1
tmu_id_7531_5513_1_total_vol,2801,1.775057866684699,1
tmu_id_8858_9776_1_total_vol,3596,-0.643115174735617,-1
tmu_id_9213_9321_2_total_vol,3073,-1.5032618789954109,-1
tmu_id_9263_5985_2_total_vol,2765,1.3869466815615907,1
