Filename,p_start_index,p_end_index,p_constant,p_range_of_plateau
midas_id_10373_M6_5717L_total_vol,3507,4021,365.0742936614078,514
midas_id_13_M62_2328B_speed_avg_mph,2262,2872,0.5955966089085853,610
midas_id_13_M62_2328B_total_vol,1333,2051,374.03963472684853,718
midas_id_14749_M5_7300A_total_vol,2938,3520,1573.9506879676806,582
midas_id_19_M1_4890A_total_vol,2632,3303,1101.0501518335238,671
midas_id_20_M3_2039B_total_vol,562,1007,231.6154866061764,445
midas_id_21_M1_4846A_speed_avg_mph,2731,3334,41.03112414634074,603
midas_id_21_M1_4846A_total_vol,614,1299,183.66514796425216,685
midas_id_2606_M25_5110A_total_vol,3178,3746,459.0995814093051,568
midas_id_2960_M25_5054A_total_vol,2349,3082,462.079901709989,733
midas_id_2_A1M_2259B_total_vol,3454,4064,186.19028861690302,610
midas_id_3_M5_7482B_total_vol,85,599,704.139204428382,514
midas_id_4_M3_2173A_total_vol,117,746,208.58084240732745,629
midas_id_5_M25_5764B_total_vol,1607,2328,165.48255207199438,721
midas_id_7_A1M_9869K_total_vol,2712,3324,154.6911683433151,612
midas_id_827_M6_6933B_total_vol,2977,3700,1038.1818495274679,723
midas_id_8_M25_4876A_total_vol,352,1038,1112.3927230069721,686
midas_id_9960_A27_9481J_total_vol,1284,1876,238.7618920132919,592
tame_id_6310_30360229_total_vol,2380,2971,117.6026251219294,591
tame_id_6312_30360231_total_vol,823,1539,823.6038355373411,716
tame_id_6316_30360235_total_vol,2281,3005,634.4750514413396,724
tame_id_6328_30360258_total_vol,204,697,542.6106893422696,493
tame_id_6329_30360259_total_vol,3485,4119,777.5270042930722,634
tame_id_6597_30360761_total_vol,3551,3963,132.9863825045752,412
tame_id_6737_30360469_total_vol,2869,3462,95.44207075341107,593
tame_id_6851_30361303_total_vol,1511,2044,115.44806147189601,533
tame_id_7032_30361448_total_vol,1779,2348,172.55802247048248,569
tame_id_7078_30361518_total_vol,1189,1679,83.7600329386472,490
tame_id_7084_30361526_total_vol,2721,3205,593.2116719958341,484
tmu_id_7236_5607_1_total_vol,359,881,195.403162662028,522
tmu_id_7237_5606_2_total_vol,2609,3170,102.92941129528175,561
tmu_id_7238_5606_1_total_vol,1502,2188,129.06119664321707,686
tmu_id_7239_5601_2_total_vol,1479,2082,161.20455040809003,603
tmu_id_7240_5601_1_total_vol,3180,3693,1.5973135409147248,513
tmu_id_7335_5016_1_total_vol,2695,3184,306.7141424902867,489
tmu_id_7494_5290_1_total_vol,17,550,166.3021957270856,533
tmu_id_7531_5513_1_total_vol,3687,4104,95.32885807141193,417
tmu_id_8858_9776_1_total_vol,656,1081,203.62672574138193,425
tmu_id_9213_9321_2_total_vol,3173,3601,20.210476802826836,428
tmu_id_9263_5985_2_total_vol,282,702,37.17070710862645,420
