Filename,p_start_index,p_end_index,p_constant,p_range_of_plateau
H1,435,543,897.5621547985216,108
H10,385,496,401.7137174073114,111
H11,359,436,34611.710330661685,77
H12,535,658,9948.631257756493,123
H13,398,479,454.649368799866,81
H14,157,258,239.14909610155166,101
H15,210,306,12307.902697531033,96
H16,220,337,1702.8849479336795,117
H17,95,199,40213.80495657585,104
H18,521,608,33027.460541915716,87
H19,149,266,1647.6882222384525,117
H2,115,203,3712.8786472277216,88
H20,411,533,5010.253795567561,122
H21,90,195,19592.492071300752,105
H22,527,650,784.6556974631545,123
H23,278,364,422.78968158350256,86
H24,499,572,679.1094155889182,73
H25,65,175,1905.6161616995823,110
H26,146,230,11553.572853103093,84
H27,151,256,2532.621797878133,105
H28,594,698,2989.2517326964567,104
H29,606,676,4172.343517321269,70
H3,500,583,1634.9517508225895,83
H30,544,619,81868.48622007218,75
H31,158,256,100927.471739035,98
H32,51,133,87284.22471997663,82
H33,495,613,5552.909048359961,118
H34,351,431,38876.77403331527,80
H35,376,494,1229.6675146899247,118
H36,463,567,26183.531181642484,104
H37,620,697,2758.776906027613,77
H38,370,472,2397.784504705043,102
H39,124,205,77881.33869262374,81
H4,543,667,4460.75265068509,124
H40,497,620,1907.635093890935,123
H5,20,130,2548.140390549317,110
H6,67,159,7748.562972326042,92
H7,463,554,41687.429026079364,91
H8,390,486,20434.251944871645,96
H9,587,661,45116.421582901916,74
