Filename,V_start_index,V_scale_factor
H1,172,4.0
H10,176,2.0
H11,191,0.24588605361287758
H12,157,0.31286478615833324
H13,200,0.9662287832079757
H14,561,3.0
H15,261,2.0
H16,529,2.0
H17,544,3.0
H18,545,4.0
H19,259,0.688524947373139
H2,313,4.0
H20,554,2.0
H21,236,0.9443393869910337
H22,83,2.0
H23,415,0.7405440909446039
H24,436,2.0
H25,104,3.0
H26,457,0.6108537367304705
H27,175,2.0
H28,471,3.0
H29,271,3.0
H3,340,0.3548264613111247
H30,365,2.0
H31,407,3.0
H32,286,0.6287299056950163
H33,110,0.33056088185977195
H34,590,4.0
H35,208,0.7619601426714335
H36,488,2.0
H37,559,0.2915365570248525
H38,204,3.0
H39,102,0.44567603415537316
H4,168,3.0
H40,616,0.2944794542912584
H5,531,2.0
H6,287,0.4022939749814459
H7,462,3.0
H8,623,0.35935816984496305
H9,310,0.6017708460201152
