Filename,l_start_index,shift_scale,shift_direction,V_start_index,V_scale_factor
tame_id_7078_30361518_total_vol,721,-1.6948144802903493,-1,3194,2.0
tame_id_7032_30361448_total_vol,1233,-1.1687491292803867,-1,2394,0.3002251666834131
tmu_id_9263_5985_2_total_vol,1490,1.5621088666940683,1,3396,3.0
tame_id_6851_30361303_total_vol,1424,0.5011681487615215,1,2340,3.0
tmu_id_9213_9321_2_total_vol,640,-0.510599457829576,-1,3648,4.0
tmu_id_7531_5513_1_total_vol,1300,0.5699984948204231,1,3039,0.1543638607196925
tame_id_6737_30360469_total_vol,1576,-0.7995106732375397,-1,3331,4.0
tmu_id_8858_9776_1_total_vol,1103,-1.4113172778521577,-1,2904,0.6693313223519999
tame_id_6597_30360761_total_vol,934,1.3449323267683089,1,2840,0.2385362953732894
tmu_id_7494_5290_1_total_vol,710,-1.1602287406094018,-1,3515,0.12063311266913104
midas_id_9960_A27_9481J_total_vol,824,1.086590911359861,1,3475,0.41204081270668647
midas_id_2606_M25_5110A_total_vol,724,-1.3515504917299872,-1,2766,3.0
midas_id_14749_M5_7300A_total_vol,820,1.8422410256414732,1,2879,0.44226638464323964
midas_id_10373_M6_5717L_total_vol,870,0.5678409333658071,1,2783,4.0
tame_id_7084_30361526_total_vol,671,-1.3801267484957722,-1,2827,2.0
tmu_id_7335_5016_1_total_vol,659,-0.9444102585561236,-1,2128,0.35404088842382175
midas_id_2960_M25_5054A_total_vol,747,0.7980735223012586,1,3150,2.0
midas_id_827_M6_6933B_total_vol,1010,-1.5935107520614809,-1,2442,0.31507943712656356
tmu_id_7239_5601_2_total_vol,659,-1.8724395133156713,-1,2843,0.13813501017161417
tmu_id_7240_5601_1_total_vol,1025,-1.5032618789954109,-1,2162,3.0
midas_id_2_A1M_2259B_total_vol,1605,-1.3418651387715517,-1,2676,4.0
tmu_id_7236_5607_1_total_vol,1387,-1.5825942817473098,-1,2830,0.12426015372305882
tmu_id_7238_5606_1_total_vol,825,1.1413115275378245,1,2955,0.11885751141204055
tame_id_6312_30360231_total_vol,1361,-1.2130553347731676,-1,2159,2.0
midas_id_21_M1_4846A_total_vol,1025,-1.4066260689167258,-1,3258,0.6657121423347886
tame_id_6329_30360259_total_vol,1457,0.934627179370652,1,2641,3.0
tame_id_6328_30360258_total_vol,1571,0.6582413897454059,1,3115,0.3499059687222197
midas_id_5_M25_5764B_total_vol,1576,1.3090133628734761,1,3435,0.6440970649274523
midas_id_7_A1M_9869K_total_vol,1003,0.8419027438129125,1,2696,2.0
midas_id_13_M62_2328B_total_vol,877,0.510428195796786,1,3498,0.23326468628243816
midas_id_13_M62_2328B_speed_avg_mph,1437,0.9041185006977822,1,3461,0.4348612012104047
midas_id_21_M1_4846A_speed_avg_mph,1310,-1.045444403568941,-1,2505,3.0
midas_id_19_M1_4890A_total_vol,1425,-1.245872758838578,-1,3700,0.12213216841271968
tame_id_6310_30360229_total_vol,731,1.9649224337489795,1,3653,0.3070427488160098
midas_id_8_M25_4876A_total_vol,1003,0.8593428360004587,1,3140,0.6913902724663604
tmu_id_7237_5606_2_total_vol,1034,-1.3890450858190904,-1,2266,0.24529596296645553
midas_id_4_M3_2173A_total_vol,912,1.05167469907888,1,3697,4.0
midas_id_3_M5_7482B_total_vol,1129,-0.6354346550816125,-1,3288,0.21191110623991255
tame_id_6316_30360235_total_vol,967,1.7875382072205799,1,3018,0.5266897194628107
midas_id_20_M3_2039B_total_vol,1129,0.8397436627969069,1,2552,4.0
