Filename,l_start_index,shift_scale,shift_direction,V_start_index,V_scale_factor
H35,207,-1.6948144802903493,-1,456,2.0
H36,207,-1.1687491292803867,-1,437,0.18572009075316448
H33,235,0.5308767414437037,1,541,2.0
H3,162,1.2871346474483567,1,398,4.0
H29,119,-1.1841049763255538,-1,400,0.6899385314840729
H26,235,-1.7899106101044808,-1,370,0.10795897669591992
H2,193,1.948448049611839,1,614,0.2385362953732894
H18,196,-1.1602287406094018,-1,613,0.6455922412472692
H19,268,0.7733541316820935,1,351,0.2247649977209133
H17,108,-0.7772816832882905,-1,567,0.33709014160108863
H16,118,-1.5909079937846313,-1,564,3.0
H14,144,-1.766800773017227,-1,402,2.0
H15,228,-0.913998773033815,-1,364,0.10938184404471636
H13,113,1.6583671539449862,1,485,0.5892768570729005
H12,185,-1.567012929122975,-1,610,3.0
H23,145,-1.8724395133156713,-1,617,0.13813501017161417
H1,255,-1.5032618789954109,-1,448,3.0
H37,139,-1.2083223877429239,-1,480,3.0
H9,246,-1.2406933945465861,-1,556,0.11525147604645712
H8,167,-1.843645393510279,-1,401,3.0
H7,255,-1.4066260689167258,-1,520,0.6657121423347886
H5,175,0.934627179370652,1,415,3.0
H6,238,1.1848018557243654,1,393,0.6299681553513209
H40,232,1.7111602327460937,1,580,2.0
H4,225,-1.4715351808120434,-1,465,0.28286875489481744
H38,259,-1.1261165047231685,-1,574,0.30256910284217675
H39,163,0.9848043980311328,1,582,0.13893534826538895
H22,156,-0.8703140942579017,-1,462,0.6986442910293651
H21,217,1.9649224337489795,1,403,0.3070427488160098
H20,233,0.8593428360004587,1,402,0.6913902724663604
H10,264,-1.3890450858190904,-1,552,0.24529596296645553
H11,142,1.05167469907888,1,447,4.0
H34,248,1.752953743383857,1,536,0.12446508493285835
H31,252,0.9889383578028271,1,496,0.15770593065485244
H32,265,-1.0963580316312835,-1,478,2.0
H30,255,1.3121719607413487,1,448,0.20497295625756173
H28,216,1.3328012173991934,1,351,3.0
H27,244,1.3374401804106464,1,358,0.5202146979836628
H25,235,1.7844864378171388,1,469,4.0
H24,217,0.7424430711419207,1,453,4.0
